activity_id,ts,customer,activity,anonymous_customer_id,feature_json,revenue_impact,link
df3v34dd3fn49sfe,2023-06-01 09:00:00,johndoe@example.com,click,,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
g48s6a29sefhcn3d,2023-06-01 09:10:00,janedoe@example.com,click,,"{""page"": ""pricing"", ""source"": ""referral""}",,https://example.com/pricing
1d8s9a3j29snsf28,2023-06-01 09:15:00,janedoe@acme.com,click,,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com/about-us
f8d73dfg5nswd9f4,2023-06-01 09:20:00,alexsmith@example.com,click,,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://example.com/products
4f3g29sf9sdnfld3,2023-06-01 09:25:00,,click,segment_23kdfjdnfjn8r,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://example.com/products
w0nsdf84s5dgd934,2023-06-01 09:30:00,sarahjones@example.com,click,,"{""page"": ""about_us"", ""source"": ""organic""}",,https://example.com/about-us
h4fjsd8g4sd0s9f5,2023-06-01 09:35:00,janedoe@example.com,click,,"{""page"": ""contact_us"", ""source"": ""referral""}",,https://example.com/contact-us
s9d8fg4sd9f83sj4,2023-06-01 09:40:00,,click,segment_abd5d3,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
a8f3j94snf84sdn4,2023-06-01 09:45:00,johndoe@example.com,click,,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
mncs9d8f4n3f54ns,2023-06-01 09:50:00,sarahsmith@example.com,click,,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://example.com/products
fs3d9f0sdg83s4dn,2023-06-01 09:55:00,johndoe@example.com,click,,"{""page"": ""testimonials"", ""source"": ""organic""}",,https://example.com/testimonials
8a3j4nd8f4sdf3n9,2023-06-01 10:00:00,,lead,segment_23kdfjdnfjn8r,"{""form"": ""newsletter_signup""}",,
m5n7f8g6s9d0g9s2,2023-06-01 10:05:00,janedoe@example.com,lead,,"{""form"": ""website_chat""}",,
b5d3f4n6s9f2j8a1,2023-06-01 10:10:00,,click,segment_asda567,"{""page"": ""about_us"", ""source"": ""organic""}",,https://example.com/about-us
s3d8g2d9g4s5n6f7,2023-06-01 10:15:00,alexsmith@example.com,click,,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
n2f4s5j8d3s6n7g9,2023-06-01 10:20:00,janedoe@example.com,consultation,,"{""preferred_time"": ""evening""}",,
g2d9f3s4g5n6a8j1,2023-06-01 10:25:00,,click,segment_baskd7asd,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://example.com/products
j4n6a8j2d3s5g9f4,2023-06-01 10:30:00,alexsmith@example.com,lead,,"{""form"": ""newsletter_signup""}",,
s3g9f7g5s4d6n8j2,2023-06-01 10:35:00,johndoe@example.com,click,,"{""page"": ""products"", ""source"": ""referral""}",,https://example.com/products
m1n3f4s5j6d8s9g7,2023-06-01 10:40:00,janedoe@example.com,click,,"{""page"": ""pricing"", ""source"": ""paid_ad""}",,https://example.com/pricing
j7g9f5s3d4n6a8j2,2023-06-01 10:45:00,,click,segment_sf8sdfdf7,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
s4d5n6g7a8j2f3s9,2023-06-01 10:50:00,alexsmith@example.com,consultation,,"{""preferred_time"": ""afternoon""}",,
m4n6j8a2d3s5g9f7,2023-06-01 10:55:00,janedoe@example.com,lead,,"{""form"": ""website_chat""}",,
j2g3f4s5d6n8a9j1,2023-06-01 11:00:00,johndoe@example.com,click,,"{""page"": ""contact_us"", ""source"": ""referral""}",,https://example.com/contact-us
s5d6n7g8a9j1f2s3,2023-06-01 11:05:00,,click,segment_34sf23sdfdf,"{""page"": ""homepage"", ""source"": ""organic""}",,https://example.com
j9g8f7s6d5n4a3j1,2023-06-01 11:10:00,janedoe@example.com,click,,"{""page"": ""pricing"", ""source"": ""referral""}",,https://example.com/pricing
s2d3n4g5a6j7f8s9,2023-06-01 11:15:00,janedoe@acme.com,lead,,"{""form"": ""newsletter_signup""}",,
j1g2f3s4d5n6a7j9,2023-06-01 11:20:00,alexsmith@example.com,sale,,"{""product"": ""ebook"", ""price"": 19.99}","19,99",
s9d8g7f6s5n4a3j2,2023-06-01 11:25:00,johndoe@example.com,lead,,"{""form"": ""newsletter_signup""}",,
j8g7f6s5d4n3a2j1,2023-06-01 11:30:00,janedoe@example.com,sale,,"{""product"": ""ebook"", ""price"": 19.99}","19,99",
s4d3n2g1a9j8f7s6,2023-06-01 11:35:00,,click,segment_abd5d3,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://example.com/products
