ts,customer,activity,feature_json,revenue_impact,link
2023-06-01 09:00:00,alex.wilson@example.com,sale,"{""page"": ""homepage"", ""source"": ""organic""}",29.99,
2023-06-01 09:10:00,laura.jones@example.com,lead,"{""page"": ""pricing"", ""source"": ""referral""}",,
2023-06-01 09:15:00,william.martin@example.com,consultation,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 09:20:00,emma.smith@example.com,sale,"{""page"": ""product_category"", ""source"": ""paid_ad""}",99.99,
2023-06-01 09:25:00,john.doe@example.com,sale,"{""page"": ""product_category"", ""source"": ""paid_ad""}",9.99,
2023-06-01 09:30:00,olivia.white@example.com,sale,"{""page"": ""about_us"", ""source"": ""organic""}",49.99,
2023-06-01 09:35:00,laura.jones@example.com,consultation,"{""page"": ""contact_us"", ""source"": ""referral""}",,
2023-06-01 09:40:00,emily.jackson@example.com,lead,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 09:45:00,alex.wilson@example.com,consultation,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 09:50:00,emily.jackson@example.com,consultation,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 09:55:00,william.martin@example.com,consultation,"{""page"": ""testimonials"", ""source"": ""organic""}",,
2023-06-01 10:00:00,laura.jones@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/summer-sale
2023-06-01 10:05:00,alex.wilson@example.com,click,"{""form"": ""website_chat""}",,https://www.example.com/summer-sale
2023-06-01 10:10:00,michael.brown@example.com,click,"{""page"": ""about_us"", ""source"": ""organic""}",,https://www.example.com/exclusive-discount
2023-06-01 10:15:00,olivia.white@example.com,sale,"{""page"": ""homepage"", ""source"": ""organic""}",9.99,
2023-06-01 10:20:00,laura.jones@example.com,consultation,"{""preferred_time"": ""evening""}",,
2023-06-01 10:25:00,daniel.thomas@example.com,consultation,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 10:30:00,michael.brown@example.com,click,"{""form"": ""newsletter_signup""}",,https://www.example.com/exclusive-discount
2023-06-01 10:35:00,emily.jackson@example.com,lead,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 10:40:00,daniel.thomas@example.com,lead,"{""page"": ""pricing"", ""source"": ""paid_ad""}",,
2023-06-01 10:45:00,john.doe@example.com,sale,"{""page"": ""homepage"", ""source"": ""organic""}",29.99,
2023-06-01 10:50:00,michael.brown@example.com,lead,"{""preferred_time"": ""afternoon""}",,
2023-06-01 10:55:00,alex.wilson@example.com,consultation,"{""form"": ""website_chat""}",,
2023-06-01 11:00:00,emma.smith@example.com,click,"{""page"": ""contact_us"", ""source"": ""referral""}",,https://www.example.com/exclusive-discount
2023-06-01 11:05:00,william.martin@example.com,sale,"{""page"": ""homepage"", ""source"": ""organic""}",9.99,
2023-06-01 11:10:00,alex.wilson@example.com,consultation,"{""page"": ""pricing"", ""source"": ""referral""}",,
2023-06-01 11:15:00,emma.smith@example.com,consultation,"{""form"": ""newsletter_signup""}",,
2023-06-01 11:20:00,emily.jackson@example.com,click,"{""product"": ""ebook"", ""price"": 19.99}",19.99,https://www.example.com/new-product-launch
2023-06-01 11:25:00,daniel.thomas@example.com,sale,"{""form"": ""newsletter_signup""}",99.99,
2023-06-01 11:30:00,michael.brown@example.com,sale,"{""product"": ""ebook"", ""price"": 19.99}",99.99,
2023-06-01 11:35:00,william.martin@example.com,lead,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 11:40:00,william.martin@example.com,lead,"{""page"": ""about_us"", ""source"": ""organic""}",,
2023-06-01 11:45:00,william.martin@example.com,click,"{""page"": ""products"", ""source"": ""referral""}",,https://www.example.com/exclusive-discount
2023-06-01 11:50:00,william.martin@example.com,lead,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,
2023-06-01 11:55:00,emily.jackson@example.com,sale,"{""form"": ""website_chat""}",29.99,
2023-06-01 12:00:00,emily.jackson@example.com,lead,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 12:05:00,daniel.thomas@example.com,consultation,"{""preferred_time"": ""morning""}",,
2023-06-01 12:10:00,sarah.davis@example.com,sale,"{""page"": ""product_category"", ""source"": ""paid_ad""}",15.99,
2023-06-01 12:15:00,laura.jones@example.com,sale,"{""page"": ""pricing"", ""source"": ""referral""}",49.99,
2023-06-01 12:20:00,sarah.davis@example.com,sale,"{""form"": ""website_chat""}",99.99,
2023-06-01 12:25:00,john.doe@example.com,sale,"{""product"": ""ebook"", ""price"": 19.99}",9.99,
2023-06-01 12:30:00,john.doe@example.com,consultation,"{""page"": ""contact_us"", ""source"": ""referral""}",,
2023-06-01 12:35:00,sarah.davis@example.com,click,"{""preferred_time"": ""morning""}",,https://www.example.com/special-offer
2023-06-01 12:40:00,emily.jackson@example.com,sale,"{""preferred_time"": ""evening""}",9.99,
2023-06-01 12:45:00,sarah.davis@example.com,consultation,"{""page"": ""testimonials"", ""source"": ""organic""}",,
2023-06-01 12:50:00,john.doe@example.com,lead,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 12:55:00,emily.jackson@example.com,click,"{""page"": ""faq"", ""source"": ""referral""}",,https://www.example.com/new-product-launch
2023-06-01 13:00:00,michael.brown@example.com,click,"{""page"": ""product_category"", ""source"": ""paid_ad""}",,https://www.example.com/special-offer
2023-06-01 13:05:00,laura.jones@example.com,lead,"{""page"": ""about_us"", ""source"": ""organic""}",,
2023-06-01 13:10:00,emma.smith@example.com,consultation,"{""page"": ""testimonials"", ""source"": ""organic""}",,
2023-06-01 13:15:00,emily.jackson@example.com,lead,"{""page"": ""about_us"", ""source"": ""organic""}",,
2023-06-01 13:20:00,john.doe@example.com,consultation,"{""form"": ""website_chat""}",,
2023-06-01 13:25:00,emily.jackson@example.com,consultation,"{""page"": ""products"", ""source"": ""referral""}",,
2023-06-01 13:30:00,emily.jackson@example.com,lead,"{""page"": ""pricing"", ""source"": ""paid_ad""}",,
2023-06-01 13:35:00,emma.smith@example.com,sale,"{""form"": ""newsletter_signup""}",15.99,
2023-06-01 13:40:00,william.martin@example.com,lead,"{""preferred_time"": ""evening""}",,
2023-06-01 13:45:00,michael.brown@example.com,consultation,"{""page"": ""about_us"", ""source"": ""organic""}",,
2023-06-01 13:50:00,william.martin@example.com,consultation,"{""form"": ""website_chat""}",,
2023-06-01 13:55:00,william.martin@example.com,consultation,"{""form"": ""website_chat""}",,
2023-06-01 14:00:00,john.doe@example.com,consultation,"{""form"": ""newsletter_signup""}",,
2023-06-01 14:05:00,john.doe@example.com,sale,"{""page"": ""product_category"", ""source"": ""paid_ad""}",49.99,
2023-06-01 14:10:00,olivia.white@example.com,consultation,"{""product"": ""subscription"", ""price"": 99.99}",99.99,
2023-06-01 14:15:00,emily.jackson@example.com,consultation,"{""page"": ""homepage"", ""source"": ""organic""}",,
2023-06-01 14:20:00,michael.brown@example.com,sale,"{""page"": ""faq"", ""source"": ""referral""}",9.99,
2023-06-01 14:25:00,sarah.davis@example.com,consultation,"{""preferred_time"": ""morning""}",,
2023-06-01 14:30:00,emily.jackson@example.com,click,"{""page"": ""homepage"", ""source"": ""organic""}",,https://www.example.com/exclusive-discount
2023-06-01 14:35:00,sarah.davis@example.com,lead,"{""page"": ""about_us"", ""source"": ""organic""}",,
2023-06-01 14:40:00,daniel.thomas@example.com,consultation,"{""page"": ""contact_us"", ""source"": ""referral""}",,
